Troqueles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Una fila por troquel. Los campos geométricos alimentan etiquetas por repetición, desarrollo y validación de planchas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CÓDIGO,Descripción,Clasificación,Forma,Código cliente,Código preprensa,Código proveedor,Ancho mm,Largo mm,Desarrollo cm,DESARROLLO TOTAL,Elongación %,Elongado,Ancho total troquel in,Largo total troquel in,Ancho etiqueta in,Largo etiqueta in,Ancho material in,Área etiqueta in²,Área troquel in²,Estructura,Formato,GAP AROUND,GAP AROUND,Montaje,Proveedor,Tensión,Tipo troquel,Uso convencional,Uso digital,Filas,DIENTES,Repeticiones,Estado,Activo,Observaciones
X0051-SG,,,especial,,,,26,31,"38,1",15,,,"9,19",15,"1,0236","1,2205",,"1,25","137,85",,rollo,"0,143","1,431",,KOCHER,,flexo,Sí,No,8,120,11,Bueno,Sí,
C0007-BW,,,circulo,,,,220,220,"45,72",18,,,9,"17,57","8,6614","8,6614",,"75,02","158,13",,rollo,"0,125","1,250",,KOCHER,,flexo,Sí,No,1,141,2,Bueno,Sí,
R0131-PPTPET,,,rectangulo,,,,98,38,"37,465","14,75",,,"7,97","14,75","3,8583","1,4961",,"5,77","117,56",,rollo,"0,143","1,428",,KOCHER,,flexo,Sí,No,2,118,9,Bueno,Sí,
R0129-PPTPET,,,rectangulo,,,,"293,2",55,"35,56",14,,,"11,67",14,"11,5433","2,1654",,"25,00","163,38",,rollo,"0,168","1,679",,KOCHER,,flexo,Sí,No,1,112,6,Bueno,Sí,
R0130-SG,,,rectangulo,,,,135,113,"35,56",14,,,"10,88",14,"5,3150","4,4488",,"23,65","152,32",,rollo,"0,218","2,179",,KOCHER,,flexo,Sí,No,2,112,3,Bueno,Sí,
R0133-BW,,,rectangulo,,,,"76,6","206,4","41,91","16,50",,,"9,42","16,5","3,0157","8,1260",,"24,51","155,43",,rollo,"0,125","1,250",,KOCHER,,flexo,Sí,No,3,132,2,Bueno,Sí,
R0134-BW,,,rectangulo,,,,27,"108,6","55,88",22,,,"5,94",22,"1,0630","4,2756",,"4,54","130,68",,rollo,"0,125","1,250",,KOCHER,,flexo,Sí,No,5,176,5,Bueno,Sí,
C0007-BW,,,circulo,,,,220,220,"45,72",18,,,"8,79",18,"8,6614","8,6614",,"75,02","158,22",,rollo,"0,339","3,386",,KOCHER,,flexo,Sí,No,1,144,2,Bueno,Sí,
R0136-BM,,,rectangulo,,,,65,100,"41,91","16,50",,,"10,74","16,5","2,5591","3,9370",,"10,08","177,21",,rollo,"0,188","1,880",,KOCHER,,flexo,Sí,No,4,132,4,Bueno,Sí,
R0137-BM,,,rectangulo,,,,70,110,"45,72",18,,,"8,64",18,"2,7559","4,3307",,"11,94","155,52",,rollo,"0,169","1,693",,KOCHER,,flexo,Sí,No,3,144,4,Bueno,Sí,
R0140-PPTPET,,,rectangulo,,,,50,50,"37,465","14,75",,,"8,37","14,75","1,9685","1,9685",,"3,88","123,46",,rollo,"0,139","1,386",,KOCHER,,flexo,Sí,No,4,118,7,Bueno,Sí,
